--- chiEFTparameters used ---
n_mesh = 50
pmax_fm = 5.0
emax = 4
Nnmax = 20
chi_order = 4
calc_NN = true
calc_3N = true
coulomb = true
calc_EperA = false
hw = 20.0
srg = true
srg_lambda = 2.0
tbme_fmt = snt.bin
fn_tbme = tbme_emn500n4lo_2n3n_srg2.0hw20emax4.snt.bin
pottype = emn500n4lo
LambdaSFR = 700.0
target_nlj = Vector{Int64}[]
v_chi_order = 0
n_mesh_P = 10
Pmax_fm = 3.0
kF = 1.35
BetaCM = 0.0
-----------------------------
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
# of two-body states 78
# of sp states 15
# of channels 2bstate 55 #TBME = 34320
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
target: O16 Ref. => Z=8 N=8 E:     -86.8656  = E1b    329.29  + E2b   -416.16   (    -35.64  -327.21   -53.31)
EMP2    -23.15627 1b    -0.000 pp    -2.982 pn   -17.138 nn    -3.036
EMP3      0.47114 pp     0.637 hh    -1.206 ph     1.040
E_HF    -86.86559  E_MBPT(3) =    -109.5507  Eexp:     -127.619

parameters in ann_sample_params.jl will be used.
 step:        s             E0   ||Omega_1||   ||Omega_2||     ||Eta_1||     ||Eta_2||    Ncomm.  nwritten
    93   23.250  -111.84574394  2.881340e-01  1.622475e+00  2.647162e-04  8.684510e-04      1112         0
    94   23.500  -111.84577256  2.881767e-01  1.622484e+00  2.585667e-04  8.509509e-04      1123         0
    95   23.750  -111.84580034  2.882180e-01  1.622492e+00  2.526258e-04  8.337977e-04      1134         0
    96   24.000  -111.84582732  2.882582e-01  1.622500e+00  2.468801e-04  8.169846e-04      1145         0
    97   24.250  -111.84585354  2.882972e-01  1.622508e+00  2.413176e-04  8.005052e-04      1156         0
    98   24.500  -111.84587903  2.883352e-01  1.622516e+00  2.359272e-04  7.843530e-04      1167         0
    99   24.750  -111.84590382  2.883720e-01  1.622523e+00  2.306989e-04  7.685218e-04      1178         0
   100   25.000  -111.84592794  2.884079e-01  1.622530e+00  2.256239e-04  7.530056e-04      1189         0
   101   25.250  -111.84595142  2.884428e-01  1.622537e+00  2.206937e-04  7.377983e-04      1200         0
   102   25.500  -111.84597428  2.884768e-01  1.622543e+00  2.159010e-04  7.228940e-04      1211         0
   103   25.750  -111.84599655  2.885099e-01  1.622549e+00  2.112390e-04  7.082871e-04      1222         0
   104   26.000  -111.84601824  2.885421e-01  1.622555e+00  2.067013e-04  6.939717e-04      1233         0
   105   26.250  -111.84603939  2.885736e-01  1.622561e+00  2.022823e-04  6.799424e-04      1244         0
   106   26.500  -111.84606000  2.886042e-01  1.622566e+00  1.979767e-04  6.661937e-04      1255         0
   107   26.750  -111.84608010  2.886341e-01  1.622572e+00  1.937796e-04  6.527202e-04      1266         0
